sample,led440,led480,led540,led590,led625,source,medium,year,uncorrected F from phytoPAM,,,,
syleo,100,30,129,1000,673,Default,unknown,Default,0.1,0.03,0.129,1,0.673
chlorella,1000,705,191,513,292,Default,unknown,Default,1,0.705,0.191,0.513,0.292
phaeo,1000,611,428,326,183,Default,unknown,Default,1,0.611,0.428,0.326,0.183
crypto,507,378,481,1000,213,Default,unknown,Default,0.507,0.378,0.481,1,0.213
synechoccus,188,62,369,1000,963,non-Default,unknown,non-Default,0.188,0.062,0.369,1,0.963
synnechoccus_leopoliensis,91,33,149,1000,844,non-Default,unknown,non-Default,0.091,0.033,0.149,1,0.844
cyano-8me2,36,30,564,1000,28,non-Default,hm,non-Default,0.036,0.03,0.564,1,0.028
pcc7376_old,11,12,1000,975,12,non-Default,asnIII,non-Default,0.011,0.012,1,0.975,0.012
pcc7938_old,250,106,169,1000,667,non-Default,bg11o,non-Default,0.25,0.106,0.169,1,0.667
pcc9806_old,250,158,211,1000,631,non-Default,bg11o,non-Default,0.25,0.158,0.211,1,0.631
pcc7806_old,202,152,213,1000,607,non-Default,bg11o,non-Default,0.202,0.152,0.213,1,0.607
pcc9807_old,203,150,218,1000,605,non-Default,bg11o,non-Default,0.203,0.15,0.218,1,0.605
planktothrix,133,165,820,1000,423,non-Default,asnIII,non-Default,0.133,0.165,0.82,1,0.423
niva_cya34a,143,105,214,1000,582,non-Default,lake_water,non-Default,0.143,0.105,0.214,1,0.582
niva_cya34b,167,122,223,1000,593,non-Default,lake_water,non-Default,0.167,0.122,0.223,1,0.593
pcc9806_lw,177,122,201,1000,619,non-Default,lake_water,non-Default,0.177,0.122,0.201,1,0.619
niva_cya540,692,524,772,1000,483,non-Default,lake_water,non-Default,0.692,0.524,0.772,1,0.483
pcc7938_lw,245,170,225,1000,649,non-Default,lake_water,non-Default,0.245,0.17,0.225,1,0.649
niva_cya34_april,130,99,215,1000,575,non-Default,z8,non-Default,0.13,0.099,0.215,1,0.575
niva_cya34b_z8,238,222,282,1000,609,non-Default,z8,non-Default,0.238,0.222,0.282,1,0.609
niva_cya540_z8,295,259,925,1000,398,non-Default,z8,non-Default,0.295,0.259,0.925,1,0.398
pcc9806_bg11,242,216,263,1000,624,non-Default,bg11o,non-Default,0.242,0.216,0.263,1,0.624
pcc7938_august,406,180,222,1000,655,non-Default,bg11o,non-Default,0.406,0.18,0.222,1,0.655
pcc7376_asn,229,276,1000,891,256,non-Default,asnIII,non-Default,0.229,0.276,1,0.891,0.256
1-21940001-2019,849,548,433.5,529,259.5,samples,,2019,849,548,433.5,529,259.5
1-21130002-2019,258.6666667,154.6666667,499,1110.333333,555,samples,,2019,,,,,
1-21810002-2019,1442,784.3333333,513.3333333,606.6666667,274.3333333,samples,,2019,,,,,
1-21810001-2019,1203,790.5,649,670,391,samples,,2019,,,,,
1-21500001-2019,614,351.3333333,281,415.6666667,198.3333333,samples,,2019,,,,,
1-21420001-2019,1109.666667,746.3333333,501.6666667,925.6666667,562.6666667,samples,,2019,,,,,
1-21350001-2019,526.6666667,308.3333333,199.3333333,268.6666667,127,samples,,2019,,,,,
1-21170001-2019,283.6666667,138.3333333,178,858,532,samples,,2019,,,,,
1-21170002-2019,929.6666667,519.3333333,319,444.5,206.1666667,samples,,2019,,,,,
2-21940001-2019,1125,692.3333333,518.3333333,789.6666667,281.3333333,samples,,2019,,,,,
2-21130002-2019,320.3333333,203.3333333,696.3333333,1377.666667,703,samples,,2019,,,,,
2-21130001-2019,332.8333333,211.8333333,704.3333333,1366.5,701,samples,,2019,,,,,
2-21810002-2019,1035.333333,656.6666667,389.3333333,586,305,samples,,2019,,,,,
2-21810001-2019,1366,849.3333333,528.3333333,774.6666667,388.6666667,samples,,2019,,,,,
2-21500001-2019,383.6666667,241.3333333,225.3333333,424.3333333,168,samples,,2019,,,,,
2-21420001-2019,639.6666667,448.6666667,451.6666667,923.3333333,576,samples,,2019,,,,,
2-21350001-2019,545.6666667,359.6666667,285,413.6666667,233.3333333,samples,,2019,,,,,
2-21170001-2019,617.6666667,376.6666667,379,1043.333333,523.6666667,samples,,2019,,,,,
2-21170002-2019,789.3333333,461.6666667,265.3333333,528,265,samples,,2019,,,,,
3-21940001-2019,998,567.6666667,523.3333333,981.6666667,321.6666667,samples,,2019,,,,,
3-21130002-2019,429.3333333,264,657,1344.666667,706.3333333,samples,,2019,,,,,
3-21130001-2019,256.6666667,164,478.6666667,966.6666667,506.6666667,samples,,2019,,,,,
3-21810002-2019,761.6666667,451.6666667,355,702,319,samples,,2019,,,,,
3-21810001-2019,1021.666667,613.6666667,437.6666667,447.6666667,274,samples,,2019,,,,,
3-21500001-2019,1134.333333,673.3333333,453.6666667,685,307,samples,,2019,,,,,
3-21420001-2019,236.6666667,108.3333333,234,1258.333333,779.3333333,samples,,2019,,,,,
3-21350001-2019,1168,695.1666667,456.1666667,659.6666667,375,samples,,2019,,,,,
3-21170001-2019,352,155.3333333,248,1089.666667,743,samples,,2019,,,,,
3-21170002-2019,948.6666667,508.6666667,422,982,616,samples,,2019,,,,,
4-21940001-2019,898.6666667,535.3333333,474.6666667,983,339.3333333,samples,,2019,,,,,
4-21130002-2019,671,394,451.3333333,993.3333333,542.6666667,samples,,2019,,,,,
4-21130001-2019,644.3333333,400.3333333,637.3333333,1339.666667,724.3333333,samples,,2019,,,,,
4-21810002-2019,639.3333333,324.1666667,250.6666667,689.8333333,420.3333333,samples,,2019,,,,,
4-21810001-2019,1382.333333,797.3333333,623.3333333,904.3333333,565,samples,,2019,,,,,
4-21500001-2019,753.6666667,435.3333333,352.3333333,716,332.6666667,samples,,2019,,,,,
4-21420001-2019,228.3333333,107.3333333,195.6666667,1088.333333,693.3333333,samples,,2019,,,,,
4-21350001-2019,264.6666667,139,209,1043.666667,674.6666667,samples,,2019,,,,,
4-21170001-2019,878,515.6666667,455.6666667,1044,704.3333333,samples,,2019,,,,,
4-21170002-2019,580,335.3333333,320.3333333,954.6666667,621.6666667,samples,,2019,,,,,
5-21940001-2019,507.6666667,213.3333333,126.6666667,246.6666667,113.3333333,samples,,2019,,,,,
5-21130002-2019,830.3333333,496.3333333,401.6666667,1080.666667,658.6666667,samples,,2019,,,,,
5-21130001-2019,881,528.3333333,430.3333333,1119.666667,669.6666667,samples,,2019,,,,,
5-21810002-2019,856.3333333,538,413,778,410,samples,,2019,,,,,
