sample,led440,led480,led540,led590,led625,meanF,source,fit_error,site,week,month,fit_class,check440,check480,check540,check590,check625,tot_chla,cyano_chla,green_chla,brown_chla,pe_chla
syleo,0.1,0,0.1,1,0.7,386,Default,0,Default,0,0,0,0.1,0,0.1,1,0.7,0,0,0,0,0
chlorella,1,0.7,0.2,0.5,0.3,540,Default,0,Default,0,0,0,1,0.7,0.2,0.5,0.3,0,0,0,0,0
phaeo,1,0.6,0.4,0.3,0.2,510,Default,0,Default,0,0,0,1,0.6,0.4,0.3,0.2,0,0,0,0,0
crypto,0.5,0.4,0.5,1,0.2,516,Default,0,Default,0,0,0,0.5,0.4,0.5,1,0.2,0,0,0,0,0
synechoccus,0.2,0.1,0.4,1,1,516,non_Default,0,non_Default,0,0,0,0.2,0.1,0.4,1,1,0,0,0,0,0
synnechoccus_leopoliensis,0.1,0,0.1,1,0.8,423,non_Default,0,non_Default,0,0,0,0.1,0,0.1,1,0.8,0,0,0,0,0
cyano_8me2,0,0,0.6,1,0,332,non_Default,0,non_Default,0,0,0,0,0,0.6,1,0,0,0,0,0,0
pcc7376_old,0,0,1,1,0,402,non_Default,0,non_Default,0,0,0,0,0,1,1,0,0,0,0,0,0
pcc7938_old,0.3,0.1,0.2,1,0.7,438,non_Default,0,non_Default,0,0,0,0.3,0.1,0.2,1,0.7,0,0,0,0,0
pcc9806_old,0.3,0.2,0.2,1,0.6,450,non_Default,0,non_Default,0,0,0,0.3,0.2,0.2,1,0.6,0,0,0,0,0
pcc7806_old,0.2,0.2,0.2,1,0.6,435,non_Default,0,non_Default,0,0,0,0.2,0.2,0.2,1,0.6,0,0,0,0,0
pcc9807_old,0.2,0.2,0.2,1,0.6,435,non_Default,0,non_Default,0,0,0,0.2,0.2,0.2,1,0.6,0,0,0,0,0
planktothrix,0.1,0.2,0.8,1,0.4,508,non_Default,0,non_Default,0,0,0,0.1,0.2,0.8,1,0.4,0,0,0,0,0
niva_cya34a,0.1,0.1,0.2,1,0.6,409,non_Default,0,non_Default,0,0,0,0.1,0.1,0.2,1,0.6,0,0,0,0,0
niva_cya34b,0.2,0.1,0.2,1,0.6,421,non_Default,0,non_Default,0,0,0,0.2,0.1,0.2,1,0.6,0,0,0,0,0
